objective,group,threshold,n_samples,n_positive,metric_fnr,metric_fpr,metric_tpr,metric_tnr,metric_f1,metric_precision,metric_recall,metric_cost,metric_youden
minimize_fnr,overall,0.165,100,59,0.06779661016949153,0.3902439024390244,0.9322033898305084,0.6097560975609756,0.846153846153846,0.7746478873239436,0.9322033898305084,0.28,0.541959487391484
minimize_fnr,sex_female,0.23500000000000001,53,33,0.06060606060606061,0.4,0.9393939393939394,0.6,0.8611111111111112,0.7948717948717948,0.9393939393939394,0.2641509433962264,0.5393939393939394
minimize_fnr,sex_male,0.155,47,26,0.07692307692307693,0.38095238095238093,0.9230769230769231,0.6190476190476191,0.8275862068965517,0.75,0.9230769230769231,0.2978723404255319,0.5421245421245422
minimize_fnr,age_41-65,0.23500000000000001,39,24,0.041666666666666664,0.4,0.9583333333333334,0.6,0.8679245283018867,0.7931034482758621,0.9583333333333334,0.23076923076923078,0.5583333333333333
minimize_fnr,age_>65,0.055,29,6,0.3333333333333333,0.391304347826087,0.6666666666666666,0.6086956521739131,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.5172413793103449,0.27536231884057966
minimize_fnr,age_<=40,0.325,32,29,0.0,0.3333333333333333,1.0,0.6666666666666666,0.983050847457627,0.9666666666666667,1.0,0.03125,0.6666666666666667
maximize_f1,overall,0.505,100,59,0.0847457627118644,0.17073170731707318,0.9152542372881356,0.8292682926829268,0.9,0.8852459016393442,0.9152542372881356,0.22,0.7445225299710624
maximize_f1,sex_female,0.485,53,33,0.06060606060606061,0.25,0.9393939393939394,0.75,0.8985507246376813,0.8611111111111112,0.9393939393939394,0.20754716981132076,0.6893939393939394
maximize_f1,sex_male,0.505,47,26,0.11538461538461539,0.09523809523809523,0.8846153846153846,0.9047619047619048,0.9019607843137256,0.92,0.8846153846153846,0.23404255319148937,0.7893772893772893
maximize_f1,age_41-65,0.23500000000000001,39,24,0.041666666666666664,0.4,0.9583333333333334,0.6,0.8679245283018867,0.7931034482758621,0.9583333333333334,0.23076923076923078,0.5583333333333333
maximize_f1,age_>65,0.765,29,6,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.5,0.3103448275862069,0.5
maximize_f1,age_<=40,0.38,32,29,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
youden,overall,0.505,100,59,0.0847457627118644,0.17073170731707318,0.9152542372881356,0.8292682926829268,0.9,0.8852459016393442,0.9152542372881356,0.22,0.7445225299710624
youden,sex_female,0.485,53,33,0.06060606060606061,0.25,0.9393939393939394,0.75,0.8985507246376813,0.8611111111111112,0.9393939393939394,0.20754716981132076,0.6893939393939394
youden,sex_male,0.765,47,26,0.19230769230769232,0.0,0.8076923076923077,1.0,0.8936170212765957,1.0,0.8076923076923077,0.3191489361702128,0.8076923076923077
youden,age_41-65,0.455,39,24,0.08333333333333333,0.3333333333333333,0.9166666666666666,0.6666666666666666,0.8627450980392156,0.8148148148148148,0.9166666666666666,0.28205128205128205,0.5833333333333333
youden,age_>65,0.765,29,6,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.5,0.3103448275862069,0.5
youden,age_<=40,0.38,32,29,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
