model,stratification,metric,group,reference_group,group_value,reference_value,disparity_ratio,is_disadvantaged
logistic_regression,Sex,accuracy,Female,Male,0.8490566037735849,0.8723404255319149,0.9733087896916705,True
logistic_regression,Sex,accuracy,Male,Male,0.8723404255319149,0.8723404255319149,1.0,False
logistic_regression,Sex,fnr,Female,Male,0.0909090909090909,0.1923076923076923,0.4727272727272727,False
logistic_regression,Sex,fnr,Male,Male,0.1923076923076923,0.1923076923076923,1.0,False
logistic_regression,Sex,fpr,Female,Male,0.25,0.0476190476190476,5.250000000000002,True
logistic_regression,Sex,fpr,Male,Male,0.0476190476190476,0.0476190476190476,1.0,False
logistic_regression,Age,accuracy,<=40,41-65,0.9375,0.7948717948717948,1.1794354838709677,False
logistic_regression,Age,accuracy,41-65,41-65,0.7948717948717948,0.7948717948717948,1.0,False
logistic_regression,Age,accuracy,>65,41-65,0.8620689655172413,0.7948717948717948,1.0845383759733036,False
logistic_regression,Age,fnr,<=40,41-65,0.0689655172413793,0.125,0.5517241379310344,False
logistic_regression,Age,fnr,41-65,41-65,0.125,0.125,1.0,False
logistic_regression,Age,fnr,>65,41-65,0.5,0.125,4.0,True
logistic_regression,Age,fpr,<=40,41-65,0.0,0.3333333333333333,0.0,False
logistic_regression,Age,fpr,41-65,41-65,0.3333333333333333,0.3333333333333333,1.0,False
logistic_regression,Age,fpr,>65,41-65,0.0434782608695652,0.3333333333333333,0.13043478260869562,False
random_forest,Sex,accuracy,Female,Male,0.8301886792452831,0.8936170212765957,0.9290206648697216,True
random_forest,Sex,accuracy,Male,Male,0.8936170212765957,0.8936170212765957,1.0,False
random_forest,Sex,fnr,Female,Male,0.0909090909090909,0.0769230769230769,1.181818181818182,True
random_forest,Sex,fnr,Male,Male,0.0769230769230769,0.0769230769230769,1.0,False
random_forest,Sex,fpr,Female,Male,0.3,0.1428571428571428,2.100000000000001,True
random_forest,Sex,fpr,Male,Male,0.1428571428571428,0.1428571428571428,1.0,False
random_forest,Age,accuracy,<=40,41-65,0.96875,0.8205128205128205,1.1806640625,False
random_forest,Age,accuracy,41-65,41-65,0.8205128205128205,0.8205128205128205,1.0,False
random_forest,Age,accuracy,>65,41-65,0.7931034482758621,0.8205128205128205,0.966594827586207,True
random_forest,Age,fnr,<=40,41-65,0.0344827586206896,0.0416666666666666,0.8275862068965517,False
random_forest,Age,fnr,41-65,41-65,0.0416666666666666,0.0416666666666666,1.0,False
random_forest,Age,fnr,>65,41-65,0.5,0.0416666666666666,12.00000000000002,True
random_forest,Age,fpr,<=40,41-65,0.0,0.4,0.0,False
random_forest,Age,fpr,41-65,41-65,0.4,0.4,1.0,False
random_forest,Age,fpr,>65,41-65,0.1304347826086956,0.4,0.32608695652173897,False
