feature,coefficient,abs_coefficient,rank
II_second_deriv_max,1.4165713067418588,1.4165713067418588,1
II_amplitude_median,-1.2870340071376516,1.2870340071376516,2
II_q50,-1.2870340071376516,1.2870340071376516,3
II_twave_power,-1.1352303179460612,1.1352303179460612,4
II_first_deriv_max,-1.1093825111149387,1.1093825111149387,5
II_approximate_entropy,0.9912656612421017,0.9912656612421017,6
II_hr_mean,-0.8737758612085033,0.8737758612085033,7
II_peak_mean_distance,-0.8580626254191345,0.8580626254191345,8
II_skewness,0.8083037791950156,0.8083037791950156,9
II_second_deriv_mean,-0.6456052191040641,0.6456052191040641,10
II_hrv_mean_rr,-0.6408181351445935,0.6408181351445935,11
II_first_deriv_mean,-0.5920790215525265,0.5920790215525265,12
II_hr_std,0.5877619029645955,0.5877619029645955,13
II_dominant_power_1,0.5862387400977067,0.5862387400977067,14
II_peak_std_height,-0.5775027717306721,0.5775027717306721,15
II_spectral_kurtosis,-0.5707271130689257,0.5707271130689257,16
II_permutation_entropy,-0.534058091549528,0.534058091549528,17
II_peak_count,-0.5222244578832174,0.5222244578832174,18
II_spectral_rolloff,0.4947726691755714,0.4947726691755714,19
II_kurtosis,0.4818491799913766,0.4818491799913766,20
II_mse_scale_3,-0.44480373033914183,0.44480373033914183,21
II_amplitude_min,-0.4336784382690629,0.4336784382690629,22
II_hf_norm,0.4198742262881114,0.4198742262881114,23
II_hrv_nn50,-0.3869868068512918,0.3869868068512918,24
II_hrv_pnn50,0.3611936624110247,0.3611936624110247,25
II_spectral_entropy,0.3545249761306086,0.3545249761306086,26
II_peak_mean_height,-0.33116755548755367,0.33116755548755367,27
II_qrs_norm,-0.32459642177102865,0.32459642177102865,28
II_hrv_cv,-0.2927025733604991,0.2927025733604991,29
II_hrv_triangular_index,0.28662406091618636,0.28662406091618636,30
II_hr_max,0.27807431427994106,0.27807431427994106,31
II_hrv_sdsd,-0.26239171123093563,0.26239171123093563,32
II_hrv_sd1,-0.2623917112309351,0.2623917112309351,33
II_spectral_spread,-0.26076326748621304,0.26076326748621304,34
II_hr_range,0.2518418057882759,0.2518418057882759,35
II_amplitude_max,-0.24070047905236922,0.24070047905236922,36
II_peak_max_height,-0.24070047905236922,0.24070047905236922,37
II_hrv_cvi,-0.23508961571268414,0.23508961571268414,38
II_first_deriv_std,0.23381609879297913,0.23381609879297913,39
II_qrs_power,-0.22444293002947757,0.22444293002947757,40
II_amplitude_range,0.22017247506488302,0.22017247506488302,41
II_mse_scale_1,0.20075023220828825,0.20075023220828825,42
II_sample_entropy,0.20075023220828825,0.20075023220828825,43
II_total_power,0.1869141033659413,0.1869141033659413,44
II_hrv_std_rr,0.18670612964499772,0.18670612964499772,45
II_amplitude_mean,0.17958033630351017,0.17958033630351017,46
II_shannon_entropy,0.17595391527700943,0.17595391527700943,47
II_r_peak_count,-0.16158917627555863,0.16158917627555863,48
II_spectral_centroid,0.15927000915200487,0.15927000915200487,49
II_hrv_sd_ratio,0.1564633278088911,0.1564633278088911,50
II_hf_power,-0.14936999009479934,0.14936999009479934,51
II_second_deriv_std,-0.14482848988495656,0.14482848988495656,52
II_spectral_flatness,0.14475509932340702,0.14475509932340702,53
II_mse_mean,-0.1309351149766811,0.1309351149766811,54
II_hrv_rmssd,-0.12904019342725548,0.12904019342725548,55
II_rr_count,-0.12766893243654215,0.12766893243654215,56
II_dominant_power_2,0.11073333351253462,0.11073333351253462,57
II_dominant_freq_1,-0.10260015806917926,0.10260015806917926,58
II_dominant_power_3,-0.09704643268108325,0.09704643268108325,59
II_hrv_csi,0.09603456311524194,0.09603456311524194,60
II_hrv_mad_rr,-0.09287537735623087,0.09287537735623087,61
II_hrv_csvi,0.07262043574645902,0.07262043574645902,62
II_hrv_iqr_rr,-0.0710210360729431,0.0710210360729431,63
II_mse_scale_2,-0.07071255675347325,0.07071255675347325,64
II_q25,-0.0625025527699901,0.0625025527699901,65
II_peak_std_distance,0.06210966538504688,0.06210966538504688,66
II_dominant_freq_3,0.059420122149503304,0.059420122149503304,67
II_hrv_tinn,-0.05941260322628848,0.05941260322628848,68
II_hrv_range_rr,-0.059412603226287886,0.059412603226287886,69
II_hr_min,0.05589986799398552,0.05589986799398552,70
II_amplitude_mad,-0.049006344771670915,0.049006344771670915,71
II_hrv_median_rr,-0.04121010547542806,0.04121010547542806,72
II_hrv_sd2,-0.031066338416435975,0.031066338416435975,73
II_clinical_power,0.0298872617675275,0.0298872617675275,74
II_q75,-0.029592895031177357,0.029592895031177357,75
II_dominant_freq_2,-0.014386806879630402,0.014386806879630402,76
II_iqr,0.010412652490854494,0.010412652490854494,77
II_zero_crossing_rate,-0.00703656866168528,0.00703656866168528,78
II_mean_crossing_rate,-0.00703656866168528,0.00703656866168528,79
II_zero_crossing_count,-0.00703656866168516,0.00703656866168516,80
II_cv,0.004417843213785361,0.004417843213785361,81
II_amplitude_std,3.899016569705269e-16,3.899016569705269e-16,82
II_rms,3.371972492965275e-16,3.371972492965275e-16,83
II_variance,-5.994838092230183e-17,5.994838092230183e-17,84
II_lf_norm,0.0,0.0,85
II_lf_power,0.0,0.0,86
II_lf_hf_ratio,0.0,0.0,87
