category,n_features,total_importance,mean_importance,max_importance,top_feature,top_feature_importance,rank
Time Domain - Derivative,12,5.362672088916674,0.44688934074305614,1.1868895259520778,II_second_deriv_max,1.1868895259520778,1
Time Domain - Statistical,21,5.010058217623451,0.23857420083921194,1.2136100678126849,II_q50,1.2136100678126849,2
Frequency Domain - Power,12,3.007700367667837,0.25064169730565306,1.3327090109368291,II_twave_power,1.3327090109368291,3
Entropy,8,2.959946846796987,0.3699933558496234,0.8319643256404357,II_approximate_entropy,0.8319643256404357,4
Time Domain - Amplitude,6,2.062335600498783,0.34372260008313055,1.2136100678126849,II_amplitude_median,1.2136100678126849,5
HRV - Time Domain,7,1.4902079492460663,0.21288684989229517,0.3947195431353153,II_hrv_mean_rr,0.3947195431353153,6
Frequency Domain - Spectral,8,1.3429328725473675,0.16786660906842094,0.2949815693616858,II_spectral_rolloff,0.2949815693616858,7
Heart Rate,4,0.9645009724311714,0.24112524310779285,0.5529248933645048,II_hr_mean,0.5529248933645048,8
HRV - Nonlinear,7,0.7197253109125291,0.10281790155893274,0.25487723949212115,II_hrv_sd1,0.25487723949212115,9
Other,2,0.4818498930523879,0.24092494652619395,0.37055308856973657,II_qrs_norm,0.37055308856973657,10
