feature,coefficient,abs_coefficient,rank
II_twave_power,-1.3327090109368291,1.3327090109368291,1
II_amplitude_median,-1.2136100678126849,1.2136100678126849,2
II_q50,-1.2136100678126849,1.2136100678126849,3
II_second_deriv_max,1.1868895259520778,1.1868895259520778,4
II_first_deriv_max,-1.088880842513381,1.088880842513381,5
II_peak_mean_distance,-0.859867181358092,0.859867181358092,6
II_approximate_entropy,0.8319643256404357,0.8319643256404357,7
II_skewness,0.6691008201274105,0.6691008201274105,8
II_mse_scale_3,-0.6202156997604524,0.6202156997604524,9
II_peak_std_height,-0.5861620970002218,0.5861620970002218,10
II_dominant_power_1,0.5783421606385862,0.5783421606385862,11
II_hr_mean,-0.5529248933645048,0.5529248933645048,12
II_second_deriv_mean,-0.5321366853025915,0.5321366853025915,13
II_first_deriv_mean,-0.4819359722608709,0.4819359722608709,14
II_permutation_entropy,-0.4670562010221611,0.4670562010221611,15
II_spectral_kurtosis,-0.4229676904796501,0.4229676904796501,16
II_kurtosis,0.4212911692599563,0.4212911692599563,17
II_peak_count,-0.4004290062165059,0.4004290062165059,18
II_hrv_mean_rr,-0.3947195431353153,0.3947195431353153,19
II_qrs_norm,-0.37055308856973657,0.37055308856973657,20
II_peak_std_distance,0.35692872801509173,0.35692872801509173,21
II_hf_norm,0.354138399509804,0.354138399509804,22
II_hr_std,0.34678864942242243,0.34678864942242243,23
II_mse_scale_1,0.3348187243896707,0.3348187243896707,24
II_sample_entropy,0.3348187243896707,0.3348187243896707,25
II_amplitude_min,-0.31371409112007026,0.31371409112007026,26
II_hrv_nn50,-0.3003588665191646,0.3003588665191646,27
II_spectral_rolloff,0.2949815693616858,0.2949815693616858,28
II_spectral_entropy,0.2860638531095607,0.2860638531095607,29
II_hrv_sd1,-0.25487723949212115,0.25487723949212115,30
II_hrv_sdsd,-0.25487723949212093,0.25487723949212093,31
II_spectral_flatness,0.25236578609212296,0.25236578609212296,32
II_hrv_triangular_index,0.24361957310852717,0.24361957310852717,33
II_hrv_pnn50,0.239044262046186,0.239044262046186,34
II_shannon_entropy,0.21926265044462606,0.21926265044462606,35
II_hrv_cvi,-0.21210077032558025,0.21210077032558025,36
II_hrv_cv,-0.20772574387845338,0.20772574387845338,37
II_amplitude_mean,0.19829044549692987,0.19829044549692987,38
II_hf_power,-0.1963942026790173,0.1963942026790173,39
II_hr_max,0.19465519581577156,0.19465519581577156,40
II_amplitude_max,-0.19325138633122216,0.19325138633122216,41
II_peak_max_height,-0.19325138633122216,0.19325138633122216,42
II_total_power,0.17510857610135272,0.17510857610135272,43
II_hr_range,0.17465898732674953,0.17465898732674953,44
II_hrv_mad_rr,-0.1652330703553924,0.1652330703553924,45
II_hrv_rmssd,-0.16425307807543643,0.16425307807543643,46
II_peak_mean_height,-0.16036692134577957,0.16036692134577957,47
II_first_deriv_std,0.1525820310783419,0.1525820310783419,48
II_dominant_freq_1,-0.1478231972370414,0.1478231972370414,49
II_spectral_spread,-0.14397893218863694,0.14397893218863694,50
II_r_peak_count,-0.14063137975168458,0.14063137975168458,51
II_amplitude_range,0.138189668170049,0.138189668170049,52
II_mse_mean,-0.137039754811302,0.137039754811302,53
II_spectral_centroid,0.13604197948721697,0.13604197948721697,54
II_dominant_power_3,-0.1218516778941952,0.1218516778941952,55
II_qrs_power,-0.11888843163990782,0.11888843163990782,56
II_rr_count,-0.11129680448265131,0.11129680448265131,57
II_zero_crossing_rate,-0.10609439596148962,0.10609439596148962,58
II_mean_crossing_rate,-0.10609439596148962,0.10609439596148962,59
II_zero_crossing_count,-0.10609439596148948,0.10609439596148948,60
II_clinical_power,0.10213984719870185,0.10213984719870185,61
II_second_deriv_std,-0.0959166770765536,0.0959166770765536,62
II_hrv_median_rr,-0.09570776609341104,0.09570776609341104,63
II_hrv_std_rr,0.0815497638602354,0.0815497638602354,64
II_hrv_sd_ratio,0.07552054959722572,0.07552054959722572,65
II_hrv_csi,0.05922410028053912,0.05922410028053912,66
II_dominant_freq_2,-0.055504454902325126,0.055504454902325126,67
II_hrv_csvi,0.044573284483676825,0.044573284483676825,68
II_hr_min,0.042261895924145414,0.042261895924145414,69
II_hrv_range_rr,0.04026720160447586,0.04026720160447586,70
II_hrv_tinn,0.04026720160447556,0.04026720160447556,71
II_hrv_iqr_rr,-0.034573395644896934,0.034573395644896934,72
II_dominant_power_2,-0.028128061069442562,0.028128061069442562,73
II_dominant_freq_3,0.026173100168777715,0.026173100168777715,74
II_q25,-0.025668449150280624,0.025668449150280624,75
II_mse_scale_2,-0.014770766338668341,0.014770766338668341,76
II_iqr,0.008630282126658732,0.008630282126658732,77
II_q75,-0.0066453995040162165,0.0066453995040162165,78
II_amplitude_mad,0.005279941567826977,0.005279941567826977,79
II_cv,0.0035634047855591868,0.0035634047855591868,80
II_hrv_sd2,0.001643362345963462,0.001643362345963462,81
II_amplitude_std,1.4795351198621904e-16,1.4795351198621904e-16,82
II_rms,1.0244229107988281e-16,1.0244229107988281e-16,83
II_variance,1.0032517973444626e-16,1.0032517973444626e-16,84
II_lf_power,0.0,0.0,85
II_lf_norm,0.0,0.0,86
II_lf_hf_ratio,0.0,0.0,87
