feature,abs_coefficient_Baseline,abs_coefficient_Fairness-Aware,difference,abs_difference,percent_change,rank_change
II_hr_mean,0.8737758612085033,0.5529248933645048,-0.32085096784399847,0.32085096784399847,-36.72005396939157,1
II_peak_std_distance,0.06210966538504688,0.35692872801509173,0.29481906263004487,0.29481906263004487,474.675012862569,2
II_hrv_mean_rr,0.6408181351445935,0.3947195431353153,-0.2460985920092782,0.2460985920092782,-38.403812013738495,3
II_hr_std,0.5877619029645955,0.34678864942242243,-0.24097325354217308,0.24097325354217308,-40.99844720893554,4
II_second_deriv_max,1.4165713067418588,1.1868895259520778,-0.22968178078978108,0.22968178078978108,-16.213922990000388,5
II_spectral_rolloff,0.4947726691755714,0.2949815693616858,-0.1997910998138856,0.1997910998138856,-40.38038319829037,6
II_twave_power,1.1352303179460612,1.3327090109368291,0.19747869299076792,0.19747869299076792,17.39547383923509,7
II_mse_scale_3,0.44480373033914183,0.6202156997604524,0.1754119694213106,0.1754119694213106,39.435813464993075,8
II_peak_mean_height,0.33116755548755367,0.16036692134577957,-0.1708006341417741,0.1708006341417741,-51.575292102132885,9
II_approximate_entropy,0.9912656612421017,0.8319643256404357,-0.15930133560166604,0.15930133560166604,-16.07049873855043,10
II_spectral_kurtosis,0.5707271130689257,0.4229676904796501,-0.14775942258927555,0.14775942258927555,-25.88967988025851,11
II_skewness,0.8083037791950156,0.6691008201274105,-0.13920295906760516,0.13920295906760516,-17.22161427836139,12
II_mse_scale_1,0.20075023220828825,0.3348187243896707,0.13406849218138245,0.13406849218138245,66.7837295328735,13
II_sample_entropy,0.20075023220828825,0.3348187243896707,0.13406849218138245,0.13406849218138245,66.7837295328735,14
II_hrv_pnn50,0.3611936624110247,0.239044262046186,-0.12214940036483868,0.12214940036483868,-33.81825680873078,15
II_peak_count,0.5222244578832174,0.4004290062165059,-0.12179545166671146,0.12179545166671146,-23.32243344884195,16
II_amplitude_min,0.4336784382690629,0.31371409112007026,-0.11996434714899262,0.11996434714899262,-27.66205015867131,17
II_spectral_spread,0.26076326748621304,0.14397893218863694,-0.11678433529757609,0.11678433529757609,-44.78557750046796,18
